Word,Level
the,A1
of,A1
and,A1
to ,A1
in,A1
that,A1
was,A1
his,A1
he,A1
it,A1
with,A1
for,A1
as,A2
be,A1
had,A1
you,A1
not,A1
her,A1
on,A1
at,A1
by,A2
have,A1
which,A2
or,A1
from,A1
this,A1
him,A1
but,A1
all,A1
she,A1
they,A1
were,A1
my,A1
are,A1
me,A1
one,A1
their,A1
so,A1
an,A1
said,A1
them,A1
we,A1
who,A2
would,A2
will,A2
been,A2
no,A1
do,A1
there,A1
when,A1
if,A1
more,A1
other,A1
out,A1
up,A1
time,A1
into,A1
man,A2
any,A2
your,A1
what,A1
has,A1
could,A2
than,A2
our,A1
some,A1
very,A1
upon,A1
about,A1
may,A1
its,A1
like,A1
great,A1
go,A1
day,A1
only,A1
now,A1
work,A1
little,A1
know,A1
see,A1
then,A1
come,A1
say,A2
can,A1
should,B1
made,A2
did,A2
look,A1
us,A2
make,A1
such,B1
a,A1
before,A2
must,B1
two,A1
these,A1
hand,A1
over,A2
thing,A2
much,A2
own,B1
long,A2
down,A1
after,A2
first,A1
Mr,A2
good,A1
even,A2
way,A2
old,A1
men,A1
take,A1
never,A2
most,A2
where,A2
shall,B2
place,A1
think,A1
those,A1
came,A2
himself,B1
year,A1
life,A2
without,A2
seem,B1
eye,A1
well,A1
through,A2
thought,A2
might,B1
how,A1
back,A1
call,A1
am,A1
too,A1
use,A1
again,A2
give,A1
many,A1
here,A1
word,A1
people,A1
last,A2
get,A1
every,A1
went,A1
same,A2
part,A2
love,A1
found,A2
ask,A1
away,A1
under,A2
god,A2
turn,A2
young,A2
face,A2
still,A2
head,A1
while,B1
just,A2
also,A2
house,A1
king,A2
right,A2
name,A1
tell,A1
live,A1
yet,B1
want,A1
follow,A2
though,B1
mean,A2
against,A2
ever,A2
put,A1
friend,A1
off,A2
nothing,A2
heart,A2
pass,A2
once,A2
another,A2
left,A2
world,A1
mind,A2
find,A1
saw,A1
return,B1
night,A1
form,A2
new,A1
three,A1
took,A1
father,A1
always,A2
Mrs,A2
set,A2
each,A2
between,A2
answer,A1
few,A2
side,A2
country,A1
open,A1
end,A1
because,A1
receive,B1
whom,B2
far,A1
lord,B1
let,A1
order,A2
state,A2
light,A1
moment,A2
both,A2
leave,A2
whole,A2
home,A1
got,A1
done,A2
heard,A2
told,A2
soon,A2
woman,A1
seen,A2
present,B1
better,A2
water,A1
room,A1
knew,A2
high,A2
small,A1
feel,A2
hour,A1
cry,A2
something,A1
wish,A2
law,A2
power,A2
hope,A1
course,A2
person,A1
door,A1
point,A2
mother,A1
keep,A2
among,B1
full,A2
appear,B1
matter,A2
enough,A2
show,A1
girl,A1
large,A2
letter,A1
read,A1
voice,A2
gave,A2
almost,A2
speak,A2
interest,A2
near,A2
try,A2
thou,C1
cannot,A2
however,B1
case,A2
quite,A2
brought,A2
nor,B1
land,A1
whose,B1
kind,A2
